name,avg_brightness,avg_green_ratio,avg_blue_ratio,avg_color_variance,avg_brightness_variance
Upper_East_Side,110.36620468750002,0.5150547315560615,0.4687541569313023,3151.5177217261403,3038.435544990029
Upper_West_Side,131.16920625,0.4994350831206489,0.5071739929751997,3526.6770704442206,3330.6928919719985
Midtown,114.51855937500001,0.4974658916302461,0.5135873089922002,3565.706491423557,3404.7815702430016
Chelsea,140.64108229166663,0.49219915189103447,0.49756948567845427,3726.470089333136,3395.7839987081356
Greenwich_Village,127.82906979166667,0.5138356956200973,0.47714519406918665,2569.53071657944,2507.915788107218
East_Village,117.7331171875,0.5350204391273252,0.47835495303305187,2691.0771319171995,2427.6589090005327
Lower_East_Side,126.23545468750001,0.49911973231684487,0.46120990873620665,2810.7411305832393,2662.4447451665724
Financial_District,138.74715364583335,0.49174927534102153,0.4477676388147642,2920.6436660694912,2569.9971337778243
Harlem,150.38559947916667,0.48891674075165403,0.5425952640140511,3496.3287662034904,2900.724037384046
East_Harlem,116.08960833333335,0.5156287848665455,0.4937944300096146,4110.499042333633,3861.1546169864105
Washington_Heights,119.70137604166666,0.5055405577975507,0.46635382080358656,2679.442667764935,2565.7873563066014
Inwood,140.99246979166668,0.5075117283513072,0.48838448293272535,4521.520893923763,4471.270690104319
Williamsburg,95.15234114583333,0.48822145002661327,0.23008046294214227,4401.634051860069,2930.0923699156237
Park_Slope,94.63197708333333,0.5522963888926037,0.4569861197208181,3929.6621609716167,3785.757298471617
Brooklyn_Heights,107.99293697916666,0.5127183425596618,0.5768959200212754,2929.213314992892,2745.9269108262247
Bushwick,127.99499531250001,0.511334152995182,0.4979520764370785,2601.640797326902,2418.170500799124
Dumbo,101.76772760416667,0.5083812898818167,0.5039771928237375,2948.9768155231477,2879.517629759259
Red_Hook,126.24039583333334,0.4940312650379065,0.47681954651055913,3494.6656275370788,3391.2970813565234
Crown_Heights,123.42611614583333,0.49368713825617655,0.49324139532367806,5184.353409399341,5122.28447328823
Bedford_Stuyvesant,145.86449947916668,0.5048838550854553,0.488909070341172,3578.9112841930696,3503.0494682208478
Sunset_Park,131.75668802083334,0.48933953466976526,0.4745103030909967,3660.2814098275467,3472.7150035775467
Bay_Ridge,118.7634875,0.5591686044013748,0.45394319374159975,3932.792043229386,3674.6449046877187
Coney_Island,142.24650989583333,0.4978178738906292,0.6257068345421501,2731.5400641528304,1861.1820485278313
Greenpoint,121.22782395833335,0.5148198833879962,0.4118094587683606,2701.6875495718687,2353.9660888079798
Astoria,122.50708750000001,0.5203404897032659,0.48350641384688203,3697.680015618735,3520.8094124937347
Long_Island_City,130.20139947916667,0.5064582343443325,0.4842797776319213,2374.0527526814617,2307.363990528684
Flushing,153.53559687499998,0.502726752724892,0.49894194078841453,4157.13399719067,4106.4874520517815
Forest_Hills,55.338096875000005,0.4966851644805711,0.4720228824633936,1173.5084103676627,1135.0311079371072
Jackson_Heights,101.242503125,0.4976151856600719,0.4784976087705489,6157.152991994139,6063.158522549694
Woodside,109.0273515625,0.5049616894811872,0.48480139356397467,4130.076595492626,4050.7590510481828
Jamaica,157.09935052083333,0.49386830954033933,0.5811510502780208,3736.5273815023183,2936.2914478217626
Rockaway_Beach,149.91383333333334,0.4984851778519911,0.5345609451636615,3244.4485706326213,2892.192930354844
Riverdale,115.59165,0.5476651726220021,0.4751991396480174,3881.7222391210985,3610.5362745377647
Fordham,153.51834479166666,0.5004213315782859,0.5428246051745154,3102.7603246096114,2678.6063485679447
Kingsbridge,118.33323333333334,0.5471485486915091,0.43771921707169753,3182.0748016061825,2998.3176085506275
Morris_Heights,142.25215104166665,0.4911332037632097,0.5343052089385197,3867.569158800779,3439.9977813702235
Mott_Haven,136.53273541666667,0.5018251722216799,0.4738388640835697,3875.134001737747,3754.8067614599695
Hunts_Point,149.85114010416666,0.5027566265249767,0.5031568682434769,4376.7687162172315,4304.110573856121
Belmont,135.83629427083332,0.49553100072029305,0.4778724369623185,3574.068672428651,3475.4360571508732
Pelham_Bay,124.75626510416667,0.5265164155471143,0.47344547284201277,4253.114959231585,4056.2814422176966
Parkchester,125.02963802083335,0.5058715443005719,0.499779499291335,3229.9160030277594,3150.196164486093
Morris_Park,131.39306979166668,0.499289911930478,0.4841090807678165,4464.10810111097,4391.027073680415
Throggs_Neck,120.59837552083333,0.5324228536629143,0.4480858552204022,3399.138687153408,3254.283849306186
Soundview,224.2817375,0.5022093499430432,0.48902842621810766,250.59752814776044,245.9837656477604
St_George,112.01584322916666,0.5095258048222231,0.49808575407840455,3769.6302428763724,3627.1746831541504
Tottenville,134.6559546875,0.5181347216521268,0.49571651548027623,4222.730799462573,3821.2365286292393
Great_Kills,116.65250781249999,0.5718323769398023,0.4285030956291351,3617.680827688786,3437.44956900823
New_Dorp,134.7508203125,0.4916525286701522,0.5501462357267941,3831.458893219511,3423.3693956500665
Port_Richmond,122.1341015625,0.5381668651404143,0.4451757932766151,4014.4276594174403,3904.443523306329
Stapleton,119.21795781249999,0.49220196652600423,0.44338598505246934,2565.0500345958603,2358.904316887527
